2020 Ballot Measure Number 2 Implementation: numbers sum: 804, cell: 803.600000
Geological Mapping for Energy Development (USGS STATEMAP): numbers sum: 900, cell: 300.000000
Land Sales - New Subdivision Development: numbers sum: 500, cell: 500.000000
National Historic Preservation Fund: numbers sum: 600, cell: 600.000000
National Recreational Trails Federal Grant Program: numbers sum: 1500, cell: 1500.000000
National Recreational Trails Federal Grant Program: numbers sum: 1600, cell: 100.000000
PARKS Land and Water Conservation Fund Federal Grant Program: numbers sum: 3500, cell: 3500.000000
PARKS Land and Water Conservation Fund Federal Grant Program: numbers sum: 5653, cell: 2152.655000
Snowmobile Trail Development Program and Grants: numbers sum: 250, cell: 250.000000
State Park Electronic Fee Stations: numbers sum: 220, cell: 220.000000
Wildland Fire Engine Replacement: numbers sum: 250, cell: 250.000000
Wildland Firefighting Aircraft Replacement: numbers sum: 650, cell: 650.000000
1002 Federal Receipts: numbers sum: 1500, cell: 1500.000000
1002 Federal Receipts: numbers sum: 4700, cell: 3200.000000
1002 Federal Receipts: numbers sum: 5300, cell: 600.000000
1002 Federal Receipts: numbers sum: 8800, cell: 3500.000000
1002 Federal Receipts: numbers sum: 15800, cell: 7000.000000
1002 Federal Receipts: numbers sum: 16400, cell: 600.000000
1002 Federal Receipts: numbers sum: 17900, cell: 1500.000000
1002 Federal Receipts: numbers sum: 22400, cell: 4500.000000
1002 Federal Receipts: numbers sum: 23000, cell: 600.000000
1003 General Fund Match: numbers sum: 2153, cell: 2152.655000
1003 General Fund Match: numbers sum: 2453, cell: 300.000000
1003 General Fund Match: numbers sum: 2953, cell: 500.000000
1004 General Fund Receipts: numbers sum: 250, cell: 250.000000
1004 General Fund Receipts: numbers sum: 900, cell: 650.000000
1004 General Fund Receipts: numbers sum: 1100, cell: 200.000000
1005 General Fund/Program Receipts: numbers sum: 100, cell: 100.000000
1005 General Fund/Program Receipts: numbers sum: 320, cell: 220.000000
1018 Exxon Valdez Oil Spill Settlement: numbers sum: 2300, cell: 2300.000000
1018 Exxon Valdez Oil Spill Settlement: numbers sum: 8719, cell: 6419.010000
1108 Statutory Designated Program Receipts: numbers sum: 300, cell: 300.000000
1108 Statutory Designated Program Receipts: numbers sum: 700, cell: 400.000000
1108 Statutory Designated Program Receipts: numbers sum: 900, cell: 200.000000
1153 State Land Disposal Income Fund: numbers sum: 500, cell: 500.000000
1195 Snow Machine Registration Receipts: numbers sum: 250, cell: 250.000000
Natural Resources: numbers sum: 1500, cell: 1500.000000
Natural Resources: numbers sum: 1600, cell: 100.000000
Natural Resources: numbers sum: 4800, cell: 3200.000000
Natural Resources: numbers sum: 5400, cell: 600.000000
Natural Resources: numbers sum: 8900, cell: 3500.000000
Natural Resources: numbers sum: 11053, cell: 2152.655000
Natural Resources: numbers sum: 11303, cell: 250.000000
Natural Resources: numbers sum: 11553, cell: 250.000000
Natural Resources: numbers sum: 11853, cell: 300.000000
Natural Resources: numbers sum: 18853, cell: 7000.000000
Natural Resources: numbers sum: 19253, cell: 400.000000
Natural Resources: numbers sum: 19903, cell: 650.000000
Natural Resources: numbers sum: 20503, cell: 600.000000
Natural Resources: numbers sum: 20803, cell: 300.000000
Natural Resources: numbers sum: 22303, cell: 1500.000000
Natural Resources: numbers sum: 22803, cell: 500.000000
Natural Resources: numbers sum: 23003, cell: 200.000000
Natural Resources: numbers sum: 23223, cell: 220.000000
Natural Resources: numbers sum: 23723, cell: 500.000000
Natural Resources: numbers sum: 26023, cell: 2300.000000
Natural Resources: numbers sum: 32442, cell: 6419.010000
Natural Resources: numbers sum: 36942, cell: 4500.000000
Natural Resources: numbers sum: 37542, cell: 600.000000
Natural Resources: numbers sum: 37742, cell: 200.000000
Natural Resources: numbers sum: 1500, cell: 1500.000000
Natural Resources: numbers sum: 1600, cell: 100.000000
Natural Resources: numbers sum: 4800, cell: 3200.000000
Natural Resources: numbers sum: 5400, cell: 600.000000
Natural Resources: numbers sum: 8900, cell: 3500.000000
Natural Resources: numbers sum: 11053, cell: 2152.655000
Natural Resources: numbers sum: 11303, cell: 250.000000
Natural Resources: numbers sum: 11553, cell: 250.000000
Natural Resources: numbers sum: 11853, cell: 300.000000
Natural Resources: numbers sum: 18853, cell: 7000.000000
Natural Resources: numbers sum: 19253, cell: 400.000000
Natural Resources: numbers sum: 19903, cell: 650.000000
Natural Resources: numbers sum: 20503, cell: 600.000000
Natural Resources: numbers sum: 20803, cell: 300.000000
Natural Resources: numbers sum: 22303, cell: 1500.000000
Natural Resources: numbers sum: 22803, cell: 500.000000
Natural Resources: numbers sum: 23003, cell: 200.000000
Natural Resources: numbers sum: 23223, cell: 220.000000
Natural Resources: numbers sum: 23723, cell: 500.000000
Natural Resources: numbers sum: 26023, cell: 2300.000000
Natural Resources: numbers sum: 32442, cell: 6419.010000
Natural Resources: numbers sum: 36942, cell: 4500.000000
Natural Resources: numbers sum: 37542, cell: 600.000000
Natural Resources: numbers sum: 37742, cell: 200.000000
2018 Sockeye Salmon Disaster - Chignik Area: numbers sum: 2000, cell: 2000.000000
Copper River Boat Launch Facilities Improvements: numbers sum: 165, cell: 165.000000
Endangered Species Act - Legal and Research Needs to Protect State Right to Manage: numbers sum: 3000, cell: 3000.000000
Endangered Species Act - Legal and Research Needs to Protect State Right to Manage: numbers sum: 3250, cell: 250.000000
Facilities, Vessels and Aircraft Maintenance, Repair and Upgrades: numbers sum: 500, cell: 500.000000
Pacific Coastal Salmon Recovery Fund: numbers sum: 4400, cell: 4400.000000
Pacific Cod Disaster Funding - 2018 Gulf of Alaska: numbers sum: 1000, cell: 1000.000000
Sport Fish Recreational Boating and Angler Access: numbers sum: 2250, cell: 2250.000000
Sport Fish Recreational Boating and Angler Access: numbers sum: 3000, cell: 750.000000
1002 Federal Receipts: numbers sum: 2250, cell: 2250.000000
1002 Federal Receipts: numbers sum: 6650, cell: 4400.000000
1002 Federal Receipts: numbers sum: 9650, cell: 3000.000000
1002 Federal Receipts: numbers sum: 11650, cell: 2000.000000
1002 Federal Receipts: numbers sum: 12650, cell: 1000.000000
1003 General Fund Match: numbers sum: 250, cell: 250.000000
1024 Fish and Game Fund: numbers sum: 750, cell: 750.000000
1024 Fish and Game Fund: numbers sum: 915, cell: 165.000000
1197 Alaska Capital Income Fund: numbers sum: 500, cell: 500.000000
Fish & Game: numbers sum: 2250, cell: 2250.000000
Fish & Game: numbers sum: 3000, cell: 750.000000
Fish & Game: numbers sum: 7400, cell: 4400.000000
Fish & Game: numbers sum: 7900, cell: 500.000000
Fish & Game: numbers sum: 10900, cell: 3000.000000
Fish & Game: numbers sum: 11150, cell: 250.000000
Fish & Game: numbers sum: 11315, cell: 165.000000
Fish & Game: numbers sum: 13315, cell: 2000.000000
Fish & Game: numbers sum: 14315, cell: 1000.000000
Fish & Game: numbers sum: 2250, cell: 2250.000000
Fish & Game: numbers sum: 3000, cell: 750.000000
Fish & Game: numbers sum: 7400, cell: 4400.000000
Fish & Game: numbers sum: 7900, cell: 500.000000
Fish & Game: numbers sum: 10900, cell: 3000.000000
Fish & Game: numbers sum: 11150, cell: 250.000000
Fish & Game: numbers sum: 11315, cell: 165.000000
Fish & Game: numbers sum: 13315, cell: 2000.000000
Fish & Game: numbers sum: 14315, cell: 1000.000000
AST Law Enforcement Equipment Replacement: numbers sum: 500, cell: 500.000000
AWT Law Enforcement Equipment and Off-Highway Vehicle Replacement: numbers sum: 750, cell: 750.000000
Crime Laboratory Equipment Replacement: numbers sum: 300, cell: 300.000000
Fire & Life Safety Vehicles: numbers sum: 150, cell: 150.000000
Marine Fisheries Patrol Improvements: numbers sum: 1100, cell: 1100.000000
Replace Training Video Simulator: numbers sum: 240, cell: 240.000000
Vehicle Replacement: numbers sum: 1234, cell: 1233.600000
1002 Federal Receipts: numbers sum: 1100, cell: 1100.000000
1004 General Fund Receipts: numbers sum: 150, cell: 150.000000
1004 General Fund Receipts: numbers sum: 450, cell: 300.000000
1004 General Fund Receipts: numbers sum: 690, cell: 240.000000
1004 General Fund Receipts: numbers sum: 1440, cell: 750.000000
1004 General Fund Receipts: numbers sum: 1940, cell: 500.000000
1004 General Fund Receipts: numbers sum: 3174, cell: 1233.600000
Public Safety: numbers sum: 1100, cell: 1100.000000
Public Safety: numbers sum: 1250, cell: 150.000000
Public Safety: numbers sum: 1550, cell: 300.000000
Public Safety: numbers sum: 1790, cell: 240.000000
Public Safety: numbers sum: 2540, cell: 750.000000
Public Safety: numbers sum: 3040, cell: 500.000000
Public Safety: numbers sum: 4274, cell: 1233.600000
Public Safety: numbers sum: 1100, cell: 1100.000000
Public Safety: numbers sum: 1250, cell: 150.000000
Public Safety: numbers sum: 1550, cell: 300.000000
Public Safety: numbers sum: 1790, cell: 240.000000
Public Safety: numbers sum: 2540, cell: 750.000000
Public Safety: numbers sum: 3040, cell: 500.000000
Public Safety: numbers sum: 4274, cell: 1233.600000
Clean Water Capitalization Grant Subsidy: numbers sum: 2000, cell: 2000.000000
Drinking Water Capitalization Grant Subsidy: numbers sum: 5800, cell: 5800.000000
Village Safe Water and Wastewater Infrastructure Projects: numbers sum: 31350, cell: 31350.000000
Village Safe Water and Wastewater Infrastructure Projects: numbers sum: 42187, cell: 10837.200000
Village Safe Water and Wastewater Infrastructure Projects: numbers sum: 42487, cell: 300.000000
Village Safe Water and Wastewater Infrastructure Projects: numbers sum: 63387, cell: 20900.000000
Village Safe Water and Wastewater Infrastructure Projects: numbers sum: 70612, cell: 7224.800000
Village Safe Water and Wastewater Infrastructure Projects: numbers sum: 70812, cell: 200.000000
Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service: numbers sum: 20900, cell: 20900.000000
Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service: numbers sum: 28125, cell: 7224.800000
Village Safe Water and Wastewater Infrastructure Projects:  Expansion, Upgrade, and Replacement of Existing Service: numbers sum: 28325, cell: 200.000000
Village Safe Water and Wastewater Infrastructure Projects:  First Time Service Projects: numbers sum: 31350, cell: 31350.000000
Village Safe Water and Wastewater Infrastructure Projects:  First Time Service Projects: numbers sum: 42187, cell: 10837.200000
Village Safe Water and Wastewater Infrastructure Projects:  First Time Service Projects: numbers sum: 42487, cell: 300.000000
1002 Federal Receipts: numbers sum: 31350, cell: 31350.000000
1002 Federal Receipts: numbers sum: 52250, cell: 20900.000000
